7784179;SORTER-INPUT;4136;869990965260
7784180;SORTER-INPUT;4309;869990965260
7784181;SORTER-INPUT;3213;869990965260
7784182;SORTER-INPUT;4662;869990965260
7784183;SORTER-INPUT;3112;869990965261
7784184;SORTER-INPUT;4480;869990965260
7784185;SORTER-INPUT;4483;869990965261
7784186;SORTER-INPUT;3601;869990965260
7784187;SORTER-INPUT;3934;869990965261
7784188;SORTER-INPUT;4343;869990965260
7784189;SORTER-INPUT;3392;869990965261
7784190;SORTER-INPUT;3367;869990965260
7784191;SORTER-INPUT;3831;869990965261
7784192;SORTER-INPUT;3525;869990965260
7784193;SORTER-INPUT;4960;869990965261
7784194;SORTER-INPUT;3055;869990965260
7784195;SORTER-INPUT;4743;869990965261
7784196;SORTER-INPUT;3050;869990965260
7784197;SORTER-INPUT;4954;869990965261
7784198;SORTER-INPUT;4007;869990965260
7784199;SORTER-INPUT;4372;869990965261
7784200;SORTER-INPUT;3523;869990965260
7784201;SORTER-INPUT;4244;869990965261
7784202;SORTER-INPUT;4724;869990965260
7784203;SORTER-INPUT;4043;869990965261
7784204;SORTER-INPUT;3201;869990965260
7784205;SORTER-INPUT;3381;869990965261
7784208;SORTER-INPUT;3210;869990965261
7784209;SORTER-INPUT;4830;869990965261
7784210;SORTER-INPUT;3628;869990965260
7784211;SORTER-INPUT;4460;869990965261
7784212;SORTER-INPUT;4177;869990965260
7784213;SORTER-INPUT;4713;869990965260
7784214;SORTER-INPUT;4560;869990965260
7784215;SORTER-INPUT;3212;869990965261
7784216;SORTER-INPUT;4429;869990965260
7784217;SORTER-INPUT;3301;869990965260
7784218;SORTER-INPUT;3395;869990965261
7784219;SORTER-INPUT;4825;869990965260
7784220;SORTER-INPUT;3000;869990965260
7784221;SORTER-INPUT;3795;869990965260
7784222;SORTER-INPUT;4517;869990965260
7784223;SORTER-INPUT;3816;869990965261
7784224;SORTER-INPUT;3587;869990965261
7784225;SORTER-INPUT;4504;869990965260
7784226;SORTER-INPUT;4670;869990965260
7784227;SORTER-INPUT;3392;869990965260
7784228;SORTER-INPUT;4774;869990965261
7784229;SORTER-INPUT;4632;869990965261
7784230;SORTER-INPUT;4861;869990965260
7784231;SORTER-INPUT;3898;869990965260
7784232;SORTER-INPUT;3648;869990965260
7784233;SORTER-INPUT;4750;869990965261
7784234;SORTER-INPUT;3328;869990965260
7784235;SORTER-INPUT;3631;869990965260
7784236;SORTER-INPUT;3565;869990965261
7784237;SORTER-INPUT;4297;869990965260
7784238;SORTER-INPUT;4769;869990965261
7784239;SORTER-INPUT;3516;869990965260
7784240;SORTER-INPUT;3291;869990965261
7784241;SORTER-INPUT;4702;869990965260
7784242;SORTER-INPUT;4620;869990965261
7784243;SORTER-INPUT;3048;869990965261
7784244;SORTER-INPUT;3176;869990965261
7784245;SORTER-INPUT;4805;869990965261
7784246;SORTER-INPUT;3646;869990965260
7784247;SORTER-INPUT;4176;869990965260
7784248;SORTER-INPUT;3395;869990965260
7784249;SORTER-INPUT;3363;869990965260
7784250;SORTER-INPUT;3391;869990965260
7784251;SORTER-INPUT;4622;869990965260
7784252;SORTER-INPUT;4345;869990965261
7784253;SORTER-INPUT;3135;869990965260
7784254;SORTER-INPUT;4791;869990965261
7784255;SORTER-INPUT;4300;869990965261
7784256;SORTER-INPUT;3461;869990965260
7784257;SORTER-INPUT;4435;869990965260
7784258;SORTER-INPUT;3094;869990965261
7784259;SORTER-INPUT;3262;869990965260
7784260;SORTER-INPUT;4142;869990965260
7784261;SORTER-INPUT;3310;869990965261
7784262;SORTER-INPUT;3399;869990965260
7784263;SORTER-INPUT;4531;869990965260
7784264;SORTER-INPUT;4900;869990965261
7784265;SORTER-INPUT;4621;869990965261
7784266;SORTER-INPUT;4495;869990965261
7784267;SORTER-INPUT;4483;869990965261
7784268;SORTER-INPUT;3637;869990965260
7784269;SORTER-INPUT;4346;869990965260
7784270;SORTER-INPUT;4214;869990965261
